company_id,manu_site,component,assembly,qty
A,A_MC,A_MT000016,A_MT000029,1.11
A,A_MC,A_MT000015,A_MT000027,1.07
A,A_MC,A_MT000003,A_MT000016,1.63
A,A_MC,A_MT000003,A_MT000013,1.97
A,A_MC,A_MT000023,A_MT000028,0.17
A,A_MC,A_MT000022,A_MT000026,2.86
A,A_MC,A_MT000012,A_MT000025,1.29
A,A_MC,A_MT000003,A_MT000022,0.62
A,A_MC,A_MT000000,A_MT000005,1.01
A,A_MC,A_MT000000,A_MT000014,0.34
A,A_MC,A_MT000002,A_MT000011,0.49
A,A_MC,A_MT000001,A_MT000009,2.39
A,A_MC,A_MT000005,A_MT000028,1.71
A,A_MC,A_MT000002,A_MT000008,0.32
A,A_MC,A_MT000001,A_MT000018,2.94
A,A_MC,A_MT000001,A_MT000015,2.06
A,A_MC,A_MT000011,A_MT000029,0.72
A,A_MC,A_MT000007,A_MT000028,0.34
A,A_MC,A_MT000018,A_MT000028,0.76
A,A_MC,A_MT000015,A_MT000029,2.98
A,A_MC,A_MT000006,A_MT000026,1.36
A,A_MC,A_MT000003,A_MT000006,1.15
A,A_MC,A_MT000020,A_MT000025,2.83
A,A_MC,A_MT000018,A_MT000025,1.61
A,A_MC,A_MT000003,A_MT000015,2.36
A,A_MC,A_MT000022,A_MT000028,2.92
A,A_MC,A_MT000023,A_MT000027,2.95
A,A_MC,A_MT000000,A_MT000007,1.29
A,A_MC,A_MT000003,A_MT000024,1.03
A,A_MC,A_MT000002,A_MT000004,0.97
A,A_MC,A_MT000000,A_MT000004,2.95
A,A_MC,A_MT000000,A_MT000016,0.38
A,A_MC,A_MT000001,A_MT000011,1.1
A,A_MC,A_MT000002,A_MT000010,0.37
A,A_MC,A_MT000001,A_MT000008,1.76
A,A_MC,A_MT000009,A_MT000028,1.21
A,A_MC,A_MT000017,A_MT000029,2.63
A,A_MC,A_MT000000,A_MT000022,0.73
A,A_MC,A_MT000002,A_MT000019,2.3
A,A_MC,A_MT000001,A_MT000017,0.29
A,A_MC,A_MT000010,A_MT000029,2.34
A,A_MC,A_MT000024,A_MT000028,1.48
A,A_MC,A_MT000015,A_MT000025,0.94
A,A_MC,A_MT000003,A_MT000011,2.38
A,A_MC,A_MT000006,A_MT000028,0.66
A,A_MC,A_MT000018,A_MT000027,2.2
A,A_MC,A_MT000003,A_MT000008,1.52
A,A_MC,A_MT000021,A_MT000026,0.66
A,A_MC,A_MT000004,A_MT000028,0.07
A,A_MC,A_MT000000,A_MT000009,2.97
A,A_MC,A_MT000014,A_MT000026,2.58
A,A_MC,A_MT000001,A_MT000004,0.88
A,A_MC,A_MT000000,A_MT000006,2.02
A,A_MC,A_MT000012,A_MT000029,2.72
A,A_MC,A_MT000001,A_MT000013,0.69
A,A_MC,A_MT000002,A_MT000012,2.87
A,A_MC,A_MT000001,A_MT000010,1.9
A,A_MC,A_MT000005,A_MT000029,1.06
A,A_MC,A_MT000019,A_MT000028,0.84
A,A_MC,A_MT000000,A_MT000024,1.91
A,A_MC,A_MT000002,A_MT000021,2.2
A,A_MC,A_MT000008,A_MT000025,0.39
A,A_MC,A_MT000016,A_MT000026,1.42
A,A_MC,A_MT000007,A_MT000029,2.01
A,A_MC,A_MT000021,A_MT000028,0.97
A,A_MC,A_MT000021,A_MT000025,2.68
A,A_MC,A_MT000003,A_MT000019,2.32
A,A_MC,A_MT000022,A_MT000029,1.52
A,A_MC,A_MT000014,A_MT000028,0.08
A,A_MC,A_MT000004,A_MT000027,2.35
A,A_MC,A_MT000002,A_MT000005,1.54
A,A_MC,A_MT000002,A_MT000014,0.65
A,A_MC,A_MT000001,A_MT000012,2.83
A,A_MC,A_MT000009,A_MT000029,2.12
A,A_MC,A_MT000019,A_MT000027,0.71
A,A_MC,A_MT000002,A_MT000023,0.31
A,A_MC,A_MT000001,A_MT000021,0.88
A,A_MC,A_MT000013,A_MT000029,2.66
A,A_MC,A_MT000015,A_MT000026,1.28
A,A_MC,A_MT000003,A_MT000012,0.07
A,A_MC,A_MT000020,A_MT000028,0.79
A,A_MC,A_MT000006,A_MT000029,1.29
A,A_MC,A_MT000003,A_MT000021,0.33
A,A_MC,A_MT000014,A_MT000027,1.53
A,A_MC,A_MT000001,A_MT000005,1.08
A,A_MC,A_MT000001,A_MT000014,2.71
A,A_MC,A_MT000002,A_MT000013,1.5
A,A_MC,A_MT000011,A_MT000028,0.55
A,A_MC,A_MT000001,A_MT000023,2.9
A,A_MC,A_MT000024,A_MT000025,0.62
A,A_MC,A_MT000011,A_MT000025,1.01
A,A_MC,A_MT000015,A_MT000028,0.96
A,A_MC,A_MT000016,A_MT000027,2.48
A,A_MC,A_MT000022,A_MT000027,0.9
A,A_MC,A_MT000012,A_MT000026,0.3
A,A_MC,A_MT000003,A_MT000023,1.92
A,A_MC,A_MT000003,A_MT000020,0.78
A,A_MC,A_MT000014,A_MT000029,0.9
A,A_MC,A_MT000002,A_MT000009,2.93
A,A_MC,A_MT000005,A_MT000026,2.79
A,A_MC,A_MT000017,A_MT000028,0.78
A,A_MC,A_MT000002,A_MT000006,2.57
A,A_MC,A_MT000001,A_MT000016,2.34
A,A_MC,A_MT000000,A_MT000018,2.45
A,A_MC,A_MT000002,A_MT000024,1.66
