company_id,material_id,manu_site,manu_lt,manu_cycle
A,A_MT000022,A_MC,12,0
A,A_MT000017,A_MC,6,0
A,A_MT000020,A_MC,10,0
A,A_MT000027,A_MC,7,0
A,A_MT000006,A_MC,12,0
A,A_MT000014,A_MC,13,0
A,A_MT000025,A_MC,9,0
A,A_MT000028,A_MC,11,0
A,A_MT000005,A_MC,12,0
A,A_MT000026,A_MC,9,0
A,A_MT000012,A_MC,9,0
A,A_MT000021,A_MC,4,0
A,A_MT000016,A_MC,12,0
A,A_MT000018,A_MC,13,0
A,A_MT000011,A_MC,7,0
A,A_MT000013,A_MC,3,0
A,A_MT000023,A_MC,9,0
A,A_MT000019,A_MC,5,0
A,A_MT000008,A_MC,3,0
A,A_MT000029,A_MC,12,0
A,A_MT000015,A_MC,3,0
A,A_MT000004,A_MC,6,0
A,A_MT000010,A_MC,10,0
A,A_MT000007,A_MC,4,0
A,A_MT000009,A_MC,13,0
A,A_MT000024,A_MC,3,0
