company_id,material_id,site_id,supplier,supply_site,cycle,inv_type,make_or_buy,from_out,holding_cost,material_cost
A,A_MT000001,A_MC,S1,S1_DC1,0,YES,BUY,YES,0.75,2250.0
A,A_MT000001,A_MC,S2,S2_DC1,0,YES,BUY,YES,0.75,2250.0
A,A_MT000002,A_MC,S1,S1_DC1,0,YES,BUY,YES,0.36,1080.0
A,A_MT000002,A_MC,S2,S2_DC1,0,YES,BUY,YES,0.36,1080.0
A,A_MT000000,A_MC,S1,S1_DC1,0,YES,BUY,YES,0.34,1020.0
A,A_MT000003,A_MC,S2,S2_DC1,0,YES,BUY,YES,0.1,300.0
A,A_MT000022,A_MC,A,A_MC,0,YES,MAKE,NO,1.45,4350.0
A,A_MT000017,A_MC,A,A_MC,0,YES,MAKE,NO,1.82,5460.0
A,A_MT000020,A_MC,A,A_MC,0,YES,MAKE,NO,1.47,4410.0
A,A_MT000027,A_MC,A,A_MC,0,YES,MAKE,NO,18.79,56370.0
A,A_MT000006,A_MC,A,A_MC,0,YES,MAKE,NO,0.92,2760.0
A,A_MT000014,A_MC,A,A_MC,0,YES,MAKE,NO,1.06,3180.0
A,A_MT000025,A_MC,A,A_MC,0,YES,MAKE,NO,2.25,6750.0
A,A_MT000028,A_MC,A,A_MC,0,YES,MAKE,NO,7.27,21810.0
A,A_MT000005,A_MC,A,A_MC,0,YES,MAKE,NO,2.56,7680.0
A,A_MT000026,A_MC,A,A_MC,0,YES,MAKE,NO,6.52,19560.0
A,A_MT000012,A_MC,A,A_MC,0,YES,MAKE,NO,0.8,2400.0
A,A_MT000021,A_MC,A,A_MC,0,YES,MAKE,NO,1.82,5460.0
A,A_MT000016,A_MC,A,A_MC,0,YES,MAKE,NO,0.99,2970.0
A,A_MT000018,A_MC,A,A_MC,0,YES,MAKE,NO,0.71,2130.0
A,A_MT000011,A_MC,A,A_MC,0,YES,MAKE,NO,0.51,1530.0
A,A_MT000013,A_MC,A,A_MC,0,YES,MAKE,NO,2.27,6810.0
A,A_MT000023,A_MC,A,A_MC,0,YES,MAKE,NO,2.99,8970.0
A,A_MT000019,A_MC,A,A_MC,0,YES,MAKE,NO,0.74,2220.0
A,A_MT000008,A_MC,A,A_MC,0,YES,MAKE,NO,1.89,5670.0
A,A_MT000029,A_MC,A,A_MC,0,YES,MAKE,NO,12.06,36180.0
A,A_MT000015,A_MC,A,A_MC,0,YES,MAKE,NO,2.28,6840.0
A,A_MT000004,A_MC,A,A_MC,0,YES,MAKE,NO,1.93,5790.0
A,A_MT000010,A_MC,A,A_MC,0,YES,MAKE,NO,1.44,4320.0
A,A_MT000007,A_MC,A,A_MC,0,YES,MAKE,NO,1.37,4110.0
A,A_MT000009,A_MC,A,A_MC,0,YES,MAKE,NO,0.81,2430.0
A,A_MT000024,A_MC,A,A_MC,0,YES,MAKE,NO,1.22,3660.0
A,A_MT000025,A_DC1,A,A_MC,0,YES,MAKE,NO,2.25,6750.0
A,A_MT000028,A_DC1,A,A_MC,0,YES,MAKE,NO,7.27,21810.0
A,A_MT000016,A_DC1,A,A_MC,0,YES,MAKE,NO,0.99,2970.0
A,A_MT000027,A_DC1,A,A_MC,0,YES,MAKE,NO,18.79,56370.0
A,A_MT000026,A_DC1,A,A_MC,0,YES,MAKE,NO,6.52,19560.0
A,A_MT000029,A_DC1,A,A_MC,0,YES,MAKE,NO,12.06,36180.0
